<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,20000105,000000,173.0000000,173.0000000,173.0000000,173.0000000,0
IMOEX,D,20000106,000000,186.2600000,186.2600000,186.2600000,186.2600000,0
IMOEX,D,20000110,000000,200.8100000,200.8100000,200.8100000,200.8100000,0
IMOEX,D,20000111,000000,199.5700000,199.5700000,199.5700000,199.5700000,0
IMOEX,D,20000112,000000,196.8800000,196.8800000,196.8800000,196.8800000,0
IMOEX,D,20000113,000000,210.0500000,210.0500000,210.0500000,210.0500000,0
IMOEX,D,20000114,000000,217.2800000,217.2800000,217.2800000,217.2800000,0
IMOEX,D,20000117,000000,219.7300000,219.7300000,219.7300000,219.7300000,0
IMOEX,D,20000118,000000,212.8800000,212.8800000,212.8800000,212.8800000,0
IMOEX,D,20000119,000000,200.6600000,200.6600000,200.6600000,200.6600000,0
IMOEX,D,20000120,000000,206.6100000,206.6100000,206.6100000,206.6100000,0
IMOEX,D,20000121,000000,215.7700000,215.7700000,215.7700000,215.7700000,0
IMOEX,D,20000124,000000,210.8200000,210.8200000,210.8200000,210.8200000,0
IMOEX,D,20000125,000000,198.6500000,198.6500000,198.6500000,198.6500000,0
IMOEX,D,20000126,000000,198.8000000,198.8000000,198.8000000,198.8000000,0
IMOEX,D,20000127,000000,203.8200000,203.8200000,203.8200000,203.8200000,0
IMOEX,D,20000128,000000,201.8100000,201.8100000,201.8100000,201.8100000,0
IMOEX,D,20000131,000000,188.8100000,188.8100000,188.8100000,188.8100000,0
IMOEX,D,20000201,000000,191.5900000,191.5900000,191.5900000,191.5900000,0
IMOEX,D,20000202,000000,186.6700000,186.6700000,186.6700000,186.6700000,0
IMOEX,D,20000203,000000,189.6700000,189.6700000,189.6700000,189.6700000,0
IMOEX,D,20000204,000000,196.0800000,196.0800000,196.0800000,196.0800000,0
IMOEX,D,20000207,000000,200.2800000,200.2800000,200.2800000,200.2800000,0
IMOEX,D,20000208,000000,204.8700000,204.8700000,204.8700000,204.8700000,0
IMOEX,D,20000209,000000,216.5300000,216.5300000,216.5300000,216.5300000,0
IMOEX,D,20000210,000000,210.2500000,210.2500000,210.2500000,210.2500000,0
IMOEX,D,20000211,000000,210.9100000,210.9100000,210.9100000,210.9100000,0
IMOEX,D,20000214,000000,214.1200000,214.1200000,214.1200000,214.1200000,0
IMOEX,D,20000215,000000,203.2000000,203.2000000,203.2000000,203.2000000,0
IMOEX,D,20000216,000000,202.7000000,202.7000000,202.7000000,202.7000000,0
IMOEX,D,20000217,000000,201.5100000,201.5100000,201.5100000,201.5100000,0
IMOEX,D,20000218,000000,200.6000000,200.6000000,200.6000000,200.6000000,0
IMOEX,D,20000221,000000,195.3000000,195.3000000,195.3000000,195.3000000,0
IMOEX,D,20000222,000000,199.5700000,199.5700000,199.5700000,199.5700000,0
IMOEX,D,20000223,000000,202.6800000,202.6800000,202.6800000,202.6800000,0
IMOEX,D,20000224,000000,207.1600000,207.1600000,207.1600000,207.1600000,0
IMOEX,D,20000225,000000,198.5600000,198.5600000,198.5600000,198.5600000,0
IMOEX,D,20000228,000000,191.1200000,191.1200000,191.1200000,191.1200000,0
IMOEX,D,20000229,000000,191.4900000,191.4900000,191.4900000,191.4900000,0
IMOEX,D,20000301,000000,198.9900000,198.9900000,198.9900000,198.9900000,0
IMOEX,D,20000302,000000,201.4900000,201.4900000,201.4900000,201.4900000,0
IMOEX,D,20000303,000000,205.4900000,205.4900000,205.4900000,205.4900000,0
IMOEX,D,20000306,000000,210.9800000,210.9800000,210.9800000,210.9800000,0
IMOEX,D,20000307,000000,211.9500000,211.9500000,211.9500000,211.9500000,0
IMOEX,D,20000309,000000,232.1600000,232.1600000,232.1600000,232.1600000,0
IMOEX,D,20000310,000000,241.5300000,241.5300000,241.5300000,241.5300000,0
IMOEX,D,20000313,000000,239.8000000,239.8000000,239.8000000,239.8000000,0
IMOEX,D,20000314,000000,245.9200000,245.9200000,245.9200000,245.9200000,0
IMOEX,D,20000315,000000,246.4600000,246.4600000,246.4600000,246.4600000,0
IMOEX,D,20000316,000000,247.6600000,247.6600000,247.6600000,247.6600000,0
IMOEX,D,20000317,000000,249.9400000,249.9400000,249.9400000,249.9400000,0
IMOEX,D,20000320,000000,243.8600000,243.8600000,243.8600000,243.8600000,0
IMOEX,D,20000321,000000,240.1700000,240.1700000,240.1700000,240.1700000,0
IMOEX,D,20000322,000000,245.8000000,245.8000000,245.8000000,245.8000000,0
IMOEX,D,20000323,000000,260.1600000,260.1600000,260.1600000,260.1600000,0
IMOEX,D,20000324,000000,268.8600000,268.8600000,268.8600000,268.8600000,0
IMOEX,D,20000327,000000,277.8200000,277.8200000,277.8200000,277.8200000,0
IMOEX,D,20000328,000000,261.8600000,261.8600000,261.8600000,261.8600000,0
IMOEX,D,20000329,000000,256.8900000,256.8900000,256.8900000,256.8900000,0
IMOEX,D,20000330,000000,252.0800000,252.0800000,252.0800000,252.0800000,0
IMOEX,D,20000331,000000,254.6800000,254.6800000,254.6800000,254.6800000,0
IMOEX,D,20000403,000000,257.3000000,257.3000000,257.3000000,257.3000000,0
IMOEX,D,20000404,000000,258.0200000,258.0200000,258.0200000,258.0200000,0
IMOEX,D,20000405,000000,245.7000000,245.7000000,245.7000000,245.7000000,0
IMOEX,D,20000406,000000,249.4300000,249.4300000,249.4300000,249.4300000,0
IMOEX,D,20000407,000000,247.9600000,247.9600000,247.9600000,247.9600000,0
IMOEX,D,20000410,000000,253.2800000,253.2800000,253.2800000,253.2800000,0
IMOEX,D,20000411,000000,249.6800000,249.6800000,249.6800000,249.6800000,0
IMOEX,D,20000412,000000,248.1000000,248.1000000,248.1000000,248.1000000,0
IMOEX,D,20000413,000000,243.7300000,243.7300000,243.7300000,243.7300000,0
IMOEX,D,20000414,000000,245.8700000,245.8700000,245.8700000,245.8700000,0
IMOEX,D,20000417,000000,226.0400000,226.0400000,226.0400000,226.0400000,0
IMOEX,D,20000418,000000,227.9800000,227.9800000,227.9800000,227.9800000,0
IMOEX,D,20000419,000000,226.2100000,226.2100000,226.2100000,226.2100000,0
IMOEX,D,20000420,000000,226.6400000,226.6400000,226.6400000,226.6400000,0
IMOEX,D,20000421,000000,230.4500000,230.4500000,230.4500000,230.4500000,0
IMOEX,D,20000424,000000,225.2800000,225.2800000,225.2800000,225.2800000,0
IMOEX,D,20000425,000000,227.7700000,227.7700000,227.7700000,227.7700000,0
IMOEX,D,20000426,000000,237.0100000,237.0100000,237.0100000,237.0100000,0
IMOEX,D,20000427,000000,238.6200000,238.6200000,238.6200000,238.6200000,0
IMOEX,D,20000428,000000,242.8500000,242.8500000,242.8500000,242.8500000,0
IMOEX,D,20000503,000000,244.8800000,244.8800000,244.8800000,244.8800000,0
IMOEX,D,20000504,000000,250.2600000,250.2600000,250.2600000,250.2600000,0
IMOEX,D,20000505,000000,249.9600000,249.9600000,249.9600000,249.9600000,0
IMOEX,D,20000506,000000,254.4500000,254.4500000,254.4500000,254.4500000,0
IMOEX,D,20000510,000000,251.3400000,251.3400000,251.3400000,251.3400000,0
IMOEX,D,20000511,000000,244.7000000,244.7000000,244.7000000,244.7000000,0
IMOEX,D,20000512,000000,241.3000000,241.3000000,241.3000000,241.3000000,0
IMOEX,D,20000515,000000,236.2600000,236.2600000,236.2600000,236.2600000,0
IMOEX,D,20000516,000000,239.9000000,239.9000000,239.9000000,239.9000000,0
IMOEX,D,20000517,000000,235.7700000,235.7700000,235.7700000,235.7700000,0
IMOEX,D,20000518,000000,228.2000000,228.2000000,228.2000000,228.2000000,0
IMOEX,D,20000519,000000,218.3000000,218.3000000,218.3000000,218.3000000,0
IMOEX,D,20000522,000000,210.6900000,210.6900000,210.6900000,210.6900000,0
IMOEX,D,20000523,000000,201.9000000,201.9000000,201.9000000,201.9000000,0
IMOEX,D,20000524,000000,190.5400000,190.5400000,190.5400000,190.5400000,0
IMOEX,D,20000525,000000,204.8300000,204.8300000,204.8300000,204.8300000,0
IMOEX,D,20000526,000000,209.3000000,209.3000000,209.3000000,209.3000000,0
IMOEX,D,20000529,000000,213.6700000,213.6700000,213.6700000,213.6700000,0
IMOEX,D,20000530,000000,213.4500000,213.4500000,213.4500000,213.4500000,0
IMOEX,D,20000531,000000,217.0500000,217.0500000,217.0500000,217.0500000,0
IMOEX,D,20000601,000000,221.1000000,221.1000000,221.1000000,221.1000000,0
IMOEX,D,20000602,000000,224.9400000,224.9400000,224.9400000,224.9400000,0
IMOEX,D,20000605,000000,233.2800000,233.2800000,233.2800000,233.2800000,0
IMOEX,D,20000606,000000,227.5700000,227.5700000,227.5700000,227.5700000,0
