<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LME.Alum,D,20000103,000000,1636.0000000,1636.5100000,1634.5000000,1636.5100000,0
LME.Alum,D,20000104,000000,1632.0000000,1632.0000000,1619.0000000,1617.5000000,0
LME.Alum,D,20000105,000000,1632.0000000,1632.0000000,1619.0000000,1636.5000000,0
LME.Alum,D,20000106,000000,1632.0000000,1632.0000000,1619.0000000,1639.7500000,0
LME.Alum,D,20000107,000000,1632.0000000,1632.0000000,1619.0000000,1652.0000000,0
LME.Alum,D,20000110,000000,1632.0000000,1632.0000000,1619.0000000,1636.7500000,0
LME.Alum,D,20000111,000000,1632.0000000,1632.0000000,1619.0000000,1640.7500000,0
LME.Alum,D,20000112,000000,1632.0000000,1632.0000000,1619.0000000,1643.5000000,0
LME.Alum,D,20000113,000000,1632.0000000,1632.0000000,1619.0000000,1633.7500000,0
LME.Alum,D,20000114,000000,1632.0000000,1632.0000000,1619.0000000,1653.5000000,0
LME.Alum,D,20000117,000000,1632.0000000,1632.0000000,1619.0000000,1653.5000000,0
LME.Alum,D,20000118,000000,1702.0000000,1732.0000000,1699.2500000,1734.0000000,0
LME.Alum,D,20000119,000000,1734.0000000,1768.5000000,1720.0000000,1765.0000000,0
LME.Alum,D,20000120,000000,1742.5000000,1759.0000000,1740.0000000,1756.2500000,0
LME.Alum,D,20000121,000000,1740.0000000,1744.0000000,1717.5000000,1739.5000000,0
LME.Alum,D,20000124,000000,1717.5000000,1742.0000000,1717.5000000,1724.0000000,0
LME.Alum,D,20000125,000000,1723.7500000,1748.0000000,1715.5000000,1736.0000000,0
LME.Alum,D,20000126,000000,1734.0000000,1761.5000000,1733.5000000,1738.0000000,0
LME.Alum,D,20000127,000000,1746.0000000,1746.0000000,1730.0000000,1730.5000000,0
LME.Alum,D,20000128,000000,1736.0000000,1743.0000000,1722.5000000,1730.5000000,0
LME.Alum,D,20000131,000000,1719.0000000,1733.0000000,1714.5000000,1736.5000000,0
LME.Alum,D,20000201,000000,1738.3000000,1754.5000000,1737.5000000,1746.5000000,0
LME.Alum,D,20000202,000000,1738.3000000,1754.5000000,1737.5000000,1720.0000000,0
LME.Alum,D,20000203,000000,1738.3000000,1754.5000000,1737.5000000,1727.0000000,0
LME.Alum,D,20000204,000000,1738.3000000,1754.5000000,1737.5000000,1720.0000000,0
LME.Alum,D,20000207,000000,1738.3000000,1754.5000000,1737.5000000,1705.5000000,0
LME.Alum,D,20000208,000000,1738.3000000,1754.5000000,1737.5000000,1696.5000000,0
LME.Alum,D,20000209,000000,1738.3000000,1754.5000000,1737.5000000,1705.2500000,0
LME.Alum,D,20000210,000000,1738.3000000,1754.5000000,1737.5000000,1710.0000000,0
LME.Alum,D,20000211,000000,1738.3000000,1754.5000000,1737.5000000,1704.2500000,0
LME.Alum,D,20000214,000000,1738.3000000,1754.5000000,1737.5000000,1704.2500000,0
LME.Alum,D,20000215,000000,1679.5000000,1680.5000000,1660.8000000,1652.0000000,0
LME.Alum,D,20000216,000000,1650.5000000,1650.5000000,1625.0000000,1629.5000000,0
LME.Alum,D,20000217,000000,1628.5000000,1634.5000000,1625.5000000,1634.2500000,0
LME.Alum,D,20000218,000000,1640.5000000,1646.7500000,1636.5000000,1642.7500000,0
LME.Alum,D,20000221,000000,1632.5000000,1634.0000000,1624.0000000,1624.0000000,0
LME.Alum,D,20000222,000000,1624.0000000,1640.0000000,1621.0000000,1637.0000000,0
LME.Alum,D,20000223,000000,1636.5000000,1658.0000000,1630.5000000,1642.5000000,0
LME.Alum,D,20000224,000000,1644.0000000,1660.5000000,1644.0000000,1658.2500000,0
LME.Alum,D,20000225,000000,1649.5000000,1660.0000000,1648.5000000,1651.0000000,0
LME.Alum,D,20000228,000000,1642.5000000,1644.0000000,1600.0000000,1597.0000000,0
LME.Alum,D,20000229,000000,1595.5000000,1598.0000000,1578.5000000,1578.0000000,0
LME.Alum,D,20000301,000000,1595.5000000,1598.0000000,1578.5000000,1613.2500000,0
LME.Alum,D,20000302,000000,1595.5000000,1598.0000000,1578.5000000,1600.0000000,0
LME.Alum,D,20000303,000000,1595.5000000,1598.0000000,1578.5000000,1595.5000000,0
LME.Alum,D,20000306,000000,1595.5000000,1598.0000000,1578.5000000,1595.5000000,0
LME.Alum,D,20000307,000000,1595.5000000,1598.0000000,1578.5000000,1583.2500000,0
LME.Alum,D,20000308,000000,1595.5000000,1598.0000000,1578.5000000,1557.7500000,0
LME.Alum,D,20000309,000000,1595.5000000,1598.0000000,1578.5000000,1571.2500000,0
LME.Alum,D,20000310,000000,1595.5000000,1598.0000000,1578.5000000,1580.7500000,0
LME.Alum,D,20000313,000000,1595.5000000,1598.0000000,1578.5000000,1580.7500000,0
