<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.HO,D,20020606,000000,0.6330000,0.6391000,0.6240000,0.6340000,0
NYMEX.HO,D,20020609,000000,0.6270000,0.6310000,0.6210000,0.6225000,0
NYMEX.HO,D,20020610,000000,0.6140000,0.6240000,0.6140000,0.6186000,0
NYMEX.HO,D,20020611,000000,0.6240000,0.6375000,0.6185000,0.6325000,0
NYMEX.HO,D,20020612,000000,0.6380000,0.6630000,0.6311000,0.6603000,0
NYMEX.HO,D,20020613,000000,0.6505000,0.6670000,0.6470000,0.6635000,0
NYMEX.HO,D,20020616,000000,0.6680000,0.6750000,0.6640000,0.6649000,0
NYMEX.HO,D,20020617,000000,0.6620000,0.6690000,0.6540000,0.6535000,0
NYMEX.HO,D,20020618,000000,0.6525000,0.6685000,0.6500000,0.6525000,0
NYMEX.HO,D,20020619,000000,0.6580000,0.6615000,0.6470000,0.6603000,0
NYMEX.HO,D,20020620,000000,0.6640000,0.6690000,0.6400000,0.6500000,0
NYMEX.HO,D,20020623,000000,0.6481000,0.6710000,0.6481000,0.6664000,0
NYMEX.HO,D,20020624,000000,0.6704000,0.6779000,0.6580000,0.6589000,0
NYMEX.HO,D,20020625,000000,0.6620000,0.6800000,0.6595000,0.6752000,0
NYMEX.HO,D,20020626,000000,0.6760000,0.6825000,0.6735000,0.6775000,0
NYMEX.HO,D,20020627,000000,0.6750000,0.6870000,0.6690000,0.6800000,0
NYMEX.HO,D,20020630,000000,0.6775000,0.6880000,0.6775000,0.6802000,0
NYMEX.HO,D,20020701,000000,0.6890000,0.6925000,0.6785000,0.6871000,0
NYMEX.HO,D,20020702,000000,0.6855000,0.6910000,0.6810000,0.6877000,0
NYMEX.HO,D,20020707,000000,0.6710000,0.6877000,0.6660000,0.6680000,0
NYMEX.HO,D,20020708,000000,0.6640000,0.6720000,0.6620000,0.6705000,0
NYMEX.HO,D,20020709,000000,0.6770000,0.6950000,0.6710000,0.6867000,0
NYMEX.HO,D,20020710,000000,0.6840000,0.6950000,0.6710000,0.6901000,0
NYMEX.HO,D,20020711,000000,0.6980000,0.7085000,0.6710000,0.7054000,0
NYMEX.HO,D,20020714,000000,0.7045000,0.7140000,0.6950000,0.6955000,0
NYMEX.HO,D,20020715,000000,0.6950000,0.7130000,0.6885000,0.7109000,0
NYMEX.HO,D,20020716,000000,0.7030000,0.7140000,0.6980000,0.7098000,0
NYMEX.HO,D,20020717,000000,0.7050000,0.7105000,0.7000000,0.7018000,0
NYMEX.HO,D,20020718,000000,0.6950000,0.7080000,0.6900000,0.7014000,0
NYMEX.HO,D,20020721,000000,0.6910000,0.6985000,0.6670000,0.6711000,0
NYMEX.HO,D,20020722,000000,0.6750000,0.6790000,0.6570000,0.6585000,0
NYMEX.HO,D,20020723,000000,0.6540000,0.6790000,0.6540000,0.6760000,0
NYMEX.HO,D,20020724,000000,0.6730000,0.6785000,0.6670000,0.6741000,0
NYMEX.HO,D,20020725,000000,0.6695000,0.6790000,0.6630000,0.6675000,0
NYMEX.HO,D,20020728,000000,0.6730000,0.6790000,0.6720000,0.6751000,0
NYMEX.HO,D,20020729,000000,0.6845000,0.7020000,0.6735000,0.6975000,0
NYMEX.HO,D,20020730,000000,0.6980000,0.7070000,0.6830000,0.6862000,0
NYMEX.HO,D,20020731,000000,0.6890000,0.6920000,0.6705000,0.6720000,0
NYMEX.HO,D,20020801,000000,0.6650000,0.6800000,0.6560000,0.6766000,0
NYMEX.HO,D,20020804,000000,0.6670000,0.6800000,0.6620000,0.6664000,0
NYMEX.HO,D,20020805,000000,0.6700000,0.6790000,0.6640000,0.6778000,0
NYMEX.HO,D,20020806,000000,0.6730000,0.6800000,0.6595000,0.6661000,0
NYMEX.HO,D,20020807,000000,0.6650000,0.6750000,0.6565000,0.6724000,0
NYMEX.HO,D,20020808,000000,0.6690000,0.6780000,0.6685000,0.6718000,0
NYMEX.HO,D,20020811,000000,0.6660000,0.6970000,0.6620000,0.6946000,0
NYMEX.HO,D,20020812,000000,0.6925000,0.6970000,0.6870000,0.6942000,0
NYMEX.HO,D,20020813,000000,0.7020000,0.7070000,0.6930000,0.7014000,0
NYMEX.HO,D,20020814,000000,0.7020000,0.7290000,0.6985000,0.7278000,0
NYMEX.HO,D,20020815,000000,0.7260000,0.7360000,0.7188000,0.7345000,0
NYMEX.HO,D,20020818,000000,0.7355000,0.7450000,0.7260000,0.7339000,0
NYMEX.HO,D,20020819,000000,0.7350000,0.7420000,0.7285000,0.7380000,0
NYMEX.HO,D,20020820,000000,0.7340000,0.7620000,0.7285000,0.7542000,0
NYMEX.HO,D,20020821,000000,0.7490000,0.7550000,0.7450000,0.7482000,0
NYMEX.HO,D,20020822,000000,0.7405000,0.7472000,0.7380000,0.7390000,0
NYMEX.HO,D,20020825,000000,0.7415000,0.7565000,0.7380000,0.7511000,0
NYMEX.HO,D,20020826,000000,0.7515000,0.7600000,0.7475000,0.7501000,0
NYMEX.HO,D,20020827,000000,0.7550000,0.7630000,0.7480000,0.7535000,0
NYMEX.HO,D,20020828,000000,0.7525000,0.7670000,0.7495000,0.7645000,0
NYMEX.HO,D,20020829,000000,0.7640000,0.7670000,0.7585000,0.7635000,0
NYMEX.HO,D,20020902,000000,0.7540000,0.7639000,0.7250000,0.7281000,0
NYMEX.HO,D,20020903,000000,0.7360000,0.7550000,0.7273000,0.7503000,0
NYMEX.HO,D,20020904,000000,0.7580000,0.7740000,0.7500000,0.7731000,0
NYMEX.HO,D,20020905,000000,0.7900000,0.7970000,0.7710000,0.7839000,0
NYMEX.HO,D,20020908,000000,0.7780000,0.7945000,0.7740000,0.7862000,0
NYMEX.HO,D,20020909,000000,0.7960000,0.8025000,0.7861000,0.7927000,0
NYMEX.HO,D,20020910,000000,0.7875000,0.7996000,0.7840000,0.7897000,0
NYMEX.HO,D,20020911,000000,0.7865000,0.7900000,0.7625000,0.7658000,0
NYMEX.HO,D,20020912,000000,0.7760000,0.7890000,0.7652000,0.7867000,0
