<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.XRB,D,20020606,000000,0.7550000,0.7600000,0.7450000,0.7530000,0
NYMEX.XRB,D,20020609,000000,0.7430000,0.7500000,0.7350000,0.7379000,0
NYMEX.XRB,D,20020610,000000,0.7230000,0.7379000,0.7220000,0.7320000,0
NYMEX.XRB,D,20020611,000000,0.7370000,0.7550000,0.7335000,0.7510000,0
NYMEX.XRB,D,20020612,000000,0.7570000,0.7875000,0.7520000,0.7780000,0
NYMEX.XRB,D,20020613,000000,0.7680000,0.7890000,0.7650000,0.7880000,0
NYMEX.XRB,D,20020616,000000,0.7910000,0.8040000,0.7900000,0.7910000,0
NYMEX.XRB,D,20020617,000000,0.7870000,0.7913000,0.7730000,0.7740000,0
NYMEX.XRB,D,20020618,000000,0.7770000,0.7880000,0.7670000,0.7680000,0
NYMEX.XRB,D,20020619,000000,0.7720000,0.7750000,0.7530000,0.7695000,0
NYMEX.XRB,D,20020620,000000,0.7680000,0.7800000,0.7480000,0.7557000,0
NYMEX.XRB,D,20020623,000000,0.7541000,0.7789000,0.7534000,0.7777000,0
NYMEX.XRB,D,20020624,000000,0.7785000,0.7880000,0.7720000,0.7732000,0
NYMEX.XRB,D,20020625,000000,0.7670000,0.7935000,0.7640000,0.7885000,0
NYMEX.XRB,D,20020626,000000,0.7870000,0.7990000,0.7865000,0.7947000,0
NYMEX.XRB,D,20020627,000000,0.7860000,0.7980000,0.7810000,0.7890000,0
NYMEX.XRB,D,20020630,000000,0.7830000,0.7950000,0.7825000,0.7919000,0
NYMEX.XRB,D,20020701,000000,0.7980000,0.8030000,0.7830000,0.7898000,0
NYMEX.XRB,D,20020702,000000,0.7860000,0.7925000,0.7710000,0.7860000,0
NYMEX.XRB,D,20020707,000000,0.7710000,0.7850000,0.7560000,0.7614000,0
NYMEX.XRB,D,20020708,000000,0.7565000,0.7740000,0.7510000,0.7696000,0
NYMEX.XRB,D,20020709,000000,0.7805000,0.8010000,0.7700000,0.7899000,0
NYMEX.XRB,D,20020710,000000,0.7850000,0.8080000,0.7700000,0.7983000,0
NYMEX.XRB,D,20020711,000000,0.8115000,0.8280000,0.7700000,0.8244000,0
NYMEX.XRB,D,20020714,000000,0.8230000,0.8327000,0.8075000,0.8085000,0
NYMEX.XRB,D,20020715,000000,0.8080000,0.8500000,0.8050000,0.8453000,0
NYMEX.XRB,D,20020716,000000,0.8425000,0.8505000,0.8280000,0.8484000,0
NYMEX.XRB,D,20020717,000000,0.8420000,0.8487000,0.8260000,0.8335000,0
NYMEX.XRB,D,20020718,000000,0.8260000,0.8470000,0.8210000,0.8386000,0
NYMEX.XRB,D,20020721,000000,0.8240000,0.8365000,0.8020000,0.8114000,0
NYMEX.XRB,D,20020722,000000,0.8160000,0.8240000,0.7940000,0.7952000,0
NYMEX.XRB,D,20020723,000000,0.7910000,0.8250000,0.7910000,0.8233000,0
NYMEX.XRB,D,20020724,000000,0.8233000,0.8290000,0.8140000,0.8224000,0
NYMEX.XRB,D,20020725,000000,0.8160000,0.8270000,0.8070000,0.8221000,0
NYMEX.XRB,D,20020728,000000,0.7740000,0.7825000,0.7740000,0.7771000,0
NYMEX.XRB,D,20020729,000000,0.7840000,0.8020000,0.7761000,0.7992000,0
NYMEX.XRB,D,20020730,000000,0.7990000,0.8070000,0.7860000,0.7880000,0
NYMEX.XRB,D,20020731,000000,0.7890000,0.7920000,0.7570000,0.7622000,0
NYMEX.XRB,D,20020801,000000,0.7540000,0.7780000,0.7480000,0.7748000,0
NYMEX.XRB,D,20020804,000000,0.7670000,0.7792000,0.7610000,0.7682000,0
NYMEX.XRB,D,20020805,000000,0.7750000,0.7790000,0.7660000,0.7747000,0
NYMEX.XRB,D,20020806,000000,0.7680000,0.7790000,0.7500000,0.7546000,0
