<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SANDP-500,D,20010216,000000,1326.6100000,1326.6100000,1293.1800000,1301.5300000,0
SANDP-500,D,20010217,000000,1301.6600000,1301.7700000,1301.4700000,1301.5300000,0
SANDP-500,D,20010219,000000,1301.5300000,1301.5300000,1301.5300000,1301.5300000,0
SANDP-500,D,20010220,000000,1302.5900000,1307.1600000,1278.4400000,1278.9400000,0
SANDP-500,D,20010221,000000,1275.0900000,1282.9700000,1253.1600000,1255.2700000,0
SANDP-500,D,20010222,000000,1255.2700000,1259.9400000,1228.3300000,1252.8200000,0
SANDP-500,D,20010223,000000,1249.5900000,1250.0600000,1215.4400000,1245.8600000,0
SANDP-500,D,20010224,000000,1245.6800000,1245.8600000,1245.2000000,1245.8600000,0
SANDP-500,D,20010226,000000,1248.3900000,1267.6900000,1241.7100000,1267.6500000,0
SANDP-500,D,20010227,000000,1267.6500000,1272.7600000,1252.2600000,1257.9400000,0
SANDP-500,D,20010228,000000,1257.9400000,1263.4700000,1229.6500000,1239.9400000,0
SANDP-500,D,20010301,000000,1237.3900000,1241.3600000,1214.5000000,1241.2300000,0
SANDP-500,D,20010302,000000,1241.2300000,1251.0100000,1219.7400000,1234.1800000,0
SANDP-500,D,20010303,000000,1233.6600000,1234.2400000,1233.6000000,1234.1800000,0
SANDP-500,D,20010305,000000,1234.1800000,1242.5500000,1234.0400000,1241.4100000,0
SANDP-500,D,20010306,000000,1243.8800000,1267.4200000,1243.8800000,1253.8000000,0
SANDP-500,D,20010307,000000,1253.8000000,1263.8600000,1253.8000000,1261.8900000,0
SANDP-500,D,20010308,000000,1260.6200000,1266.5000000,1257.6000000,1264.7400000,0
SANDP-500,D,20010309,000000,1262.1000000,1262.1000000,1228.4200000,1233.4200000,0
SANDP-500,D,20010310,000000,1232.7100000,1233.5300000,1232.3500000,1233.4200000,0
SANDP-500,D,20010311,000000,1233.4200000,1233.4200000,1233.4200000,1233.4200000,0
SANDP-500,D,20010312,000000,1233.4200000,1233.4200000,1176.7800000,1180.1600000,0
SANDP-500,D,20010313,000000,1180.1600000,1197.8300000,1171.5000000,1197.6600000,0
SANDP-500,D,20010314,000000,1197.4500000,1197.4500000,1155.3500000,1166.7100000,0
SANDP-500,D,20010315,000000,1166.7100000,1182.0400000,1166.7100000,1173.5600000,0
SANDP-500,D,20010316,000000,1173.5000000,1173.5000000,1148.6400000,1150.5300000,0
SANDP-500,D,20010317,000000,1150.5300000,1150.6800000,1150.3600000,1150.5300000,0
SANDP-500,D,20010319,000000,1151.6800000,1173.5000000,1147.1800000,1170.8100000,0
SANDP-500,D,20010320,000000,1172.2800000,1180.5600000,1142.1900000,1142.6200000,0
SANDP-500,D,20010321,000000,1142.3300000,1149.3900000,1118.7400000,1122.1400000,0
SANDP-500,D,20010322,000000,1122.1400000,1124.2700000,1085.8500000,1096.1700000,0
SANDP-500,D,20010323,000000,1117.5800000,1141.8300000,1117.5800000,1139.8300000,0
SANDP-500,D,20010324,000000,1139.6300000,1139.9100000,1139.4100000,1139.8300000,0
SANDP-500,D,20010326,000000,1139.8300000,1139.8300000,1139.8300000,1139.8300000,0
SANDP-500,D,20010330,000000,1147.9500000,1162.8000000,1143.8300000,1160.3300000,0
SANDP-500,D,20010331,000000,1158.7200000,1161.0200000,1154.2700000,1160.3300000,0
SANDP-500,D,20010402,000000,1160.3300000,1169.5100000,1151.1600000,1152.9300000,0
SANDP-500,D,20010403,000000,1145.8700000,1145.8700000,1100.1900000,1106.4600000,0
SANDP-500,D,20010404,000000,1105.9200000,1117.4000000,1091.9900000,1115.2700000,0
SANDP-500,D,20010405,000000,1103.2500000,1135.5100000,1103.2500000,1134.5800000,0
SANDP-500,D,20010406,000000,1151.4400000,1151.4400000,1130.0000000,1136.1900000,0
SANDP-500,D,20010409,000000,1128.4300000,1146.1300000,1126.3800000,1137.5900000,0
SANDP-500,D,20010410,000000,1137.5900000,1173.9200000,1137.5900000,1168.3800000,0
SANDP-500,D,20010411,000000,1173.9000000,1182.2400000,1160.2600000,1165.8900000,0
SANDP-500,D,20010412,000000,1165.5100000,1183.5100000,1157.7300000,1183.5000000,0
SANDP-500,D,20010413,000000,1183.5000000,1183.5000000,1183.5000000,1183.5000000,0
SANDP-500,D,20010414,000000,1183.5000000,1183.5000000,1183.5000000,1183.5000000,0
SANDP-500,D,20010416,000000,1180.3900000,1184.6400000,1167.3800000,1179.6800000,0
SANDP-500,D,20010417,000000,1179.6800000,1192.2500000,1168.9000000,1191.5300000,0
SANDP-500,D,20010418,000000,1191.5300000,1248.4200000,1191.5300000,1238.1600000,0
SANDP-500,D,20010419,000000,1239.5800000,1253.7100000,1233.3900000,1253.6900000,0
SANDP-500,D,20010420,000000,1252.8800000,1252.8800000,1234.4100000,1242.9800000,0
SANDP-500,D,20010421,000000,1242.5500000,1242.9800000,1242.4400000,1242.9800000,0
SANDP-500,D,20010423,000000,1242.9800000,1242.9800000,1221.8200000,1222.8400000,0
SANDP-500,D,20010424,000000,1224.3600000,1233.5400000,1208.8900000,1209.4700000,0
SANDP-500,D,20010425,000000,1216.1000000,1232.3600000,1212.7600000,1228.7500000,0
SANDP-500,D,20010426,000000,1231.6400000,1248.3000000,1231.6400000,1234.5200000,0
SANDP-500,D,20010427,000000,1234.5200000,1253.0700000,1234.5200000,1253.0500000,0
SANDP-500,D,20010428,000000,1253.0500000,1253.0500000,1253.0500000,1253.0500000,0
SANDP-500,D,20010503,000000,1267.4300000,1267.4300000,1249.7800000,1249.7800000,0
SANDP-500,D,20010504,000000,1248.5800000,1267.5100000,1232.0000000,1266.6100000,0
