<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.SB,D,20061221,000000,11.9000000,11.9000000,11.9000000,11.9000000,0
US2.SB,D,20061222,000000,11.9200000,11.9200000,11.9200000,11.9200000,0
US2.SB,D,20061226,000000,11.8600000,11.8600000,11.8600000,11.8600000,0
US2.SB,D,20061227,000000,11.7900000,11.7900000,11.7900000,11.7900000,0
US2.SB,D,20061228,000000,11.8600000,11.8600000,11.8600000,11.8600000,0
US2.SB,D,20061229,000000,11.7500000,11.7500000,11.7500000,11.7500000,0
US2.SB,D,20070102,000000,11.7500000,11.7500000,11.7500000,11.7500000,0
US2.SB,D,20070103,000000,11.5100000,11.5100000,11.5100000,11.5100000,0
US2.SB,D,20070104,000000,11.2700000,11.2700000,11.2700000,11.2700000,0
US2.SB,D,20070105,000000,11.0900000,11.0900000,11.0900000,11.0900000,0
US2.SB,D,20070108,000000,11.1600000,11.3000000,11.1100000,11.1600000,0
US2.SB,D,20070109,000000,11.1000000,11.3700000,10.9300000,11.1000000,0
US2.SB,D,20070110,000000,11.0500000,11.0500000,11.0500000,11.1200000,0
US2.SB,D,20070111,000000,11.1300000,11.1300000,11.0200000,11.0200000,0
US2.SB,D,20070112,000000,10.9800000,10.9800000,10.8700000,10.9300000,0
US2.SB,D,20070116,000000,10.9600000,11.2000000,10.7400000,10.9100000,0
US2.SB,D,20070117,000000,10.8500000,10.8600000,10.7000000,10.7600000,0
US2.SB,D,20070118,000000,10.8400000,10.8400000,10.6500000,10.7100000,0
US2.SB,D,20070119,000000,10.7300000,10.8100000,9.9700000,10.8600000,0
US2.SB,D,20070122,000000,10.9000000,11.9500000,10.8000000,10.9300000,0
US2.SB,D,20070123,000000,10.9000000,10.9000000,10.7700000,10.7900000,0
US2.SB,D,20070124,000000,10.9100000,10.9100000,10.9100000,10.7600000,0
US2.SB,D,20070125,000000,10.6600000,10.6600000,10.6600000,10.6900000,0
US2.SB,D,20070126,000000,10.6500000,10.6500000,10.5800000,10.7200000,0
US2.SB,D,20070129,000000,10.5900000,10.5900000,10.5900000,10.5900000,0
US2.SB,D,20070130,000000,10.4800000,10.4800000,10.3100000,10.4100000,0
US2.SB,D,20070131,000000,10.6100000,10.6200000,10.5800000,10.6000000,0
US2.SB,D,20070201,000000,10.6300000,10.6300000,10.4900000,10.6300000,0
US2.SB,D,20070202,000000,10.6300000,10.6400000,10.5300000,10.5200000,0
US2.SB,D,20070205,000000,10.5000000,10.5000000,10.4500000,10.4300000,0
