<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US3.ZW,D,20000103,000000,249.0000000,251.5000000,245.2500000,247.5000000,13462
US3.ZW,D,20000104,000000,247.5000000,248.0000000,241.0000000,247.2500000,21207
US3.ZW,D,20000105,000000,247.2500000,250.0000000,246.0000000,249.7500000,14753
US3.ZW,D,20000106,000000,250.0000000,251.0000000,247.5000000,248.5000000,13700
US3.ZW,D,20000107,000000,248.2500000,252.0000000,246.0000000,251.7500000,16516
US3.ZW,D,20000110,000000,251.2500000,255.0000000,248.7500000,253.5000000,18425
US3.ZW,D,20000111,000000,253.5000000,256.0000000,251.5000000,253.7500000,17539
US3.ZW,D,20000112,000000,253.7500000,260.0000000,252.2500000,258.7500000,21353
US3.ZW,D,20000113,000000,258.2500000,263.7500000,257.0000000,263.5000000,21320
US3.ZW,D,20000114,000000,262.7500000,267.7500000,261.2500000,265.0000000,27576
US3.ZW,D,20000117,000000,262.7500000,267.7500000,261.2500000,265.0000000,27576
US3.ZW,D,20000118,000000,261.5000000,265.5000000,261.0000000,264.5000000,14327
US3.ZW,D,20000119,000000,265.0000000,267.0000000,263.0000000,266.0000000,12142
US3.ZW,D,20000120,000000,265.5000000,265.7500000,262.5000000,265.0000000,14792
US3.ZW,D,20000121,000000,265.2500000,266.2500000,261.5000000,264.2500000,14057
US3.ZW,D,20000124,000000,265.5000000,269.0000000,265.0000000,266.0000000,17770
US3.ZW,D,20000125,000000,265.2500000,266.7500000,263.0000000,264.7500000,11627
US3.ZW,D,20000126,000000,264.5000000,264.7500000,259.0000000,260.0000000,17901
US3.ZW,D,20000127,000000,260.0000000,264.0000000,256.5000000,263.5000000,26347
US3.ZW,D,20000128,000000,263.7500000,264.7500000,259.0000000,259.7500000,16029
US3.ZW,D,20000131,000000,258.2500000,258.2500000,254.0000000,256.2500000,15953
US3.ZW,D,20000201,000000,255.7500000,260.0000000,254.2500000,258.0000000,11552
US3.ZW,D,20000202,000000,258.0000000,260.0000000,256.5000000,257.2500000,9148
US3.ZW,D,20000203,000000,257.0000000,257.0000000,253.0000000,253.7500000,17456
US3.ZW,D,20000204,000000,253.0000000,257.5000000,249.0000000,257.0000000,21585
US3.ZW,D,20000207,000000,259.0000000,260.7500000,257.0000000,258.7500000,16423
US3.ZW,D,20000208,000000,259.0000000,260.2500000,256.5000000,259.2500000,12216
US3.ZW,D,20000209,000000,258.0000000,266.0000000,257.0000000,265.5000000,24404
US3.ZW,D,20000210,000000,265.0000000,273.0000000,265.0000000,271.7500000,35995
US3.ZW,D,20000211,000000,272.7500000,273.5000000,267.5000000,269.5000000,35841
US3.ZW,D,20000214,000000,269.0000000,272.7500000,268.0000000,268.7500000,12262
US3.ZW,D,20000215,000000,269.5000000,269.5000000,265.0000000,266.0000000,16601
US3.ZW,D,20000216,000000,266.0000000,268.0000000,263.2500000,265.2500000,21689
US3.ZW,D,20000217,000000,265.0000000,267.0000000,262.0000000,262.5000000,10337
US3.ZW,D,20000218,000000,262.0000000,265.0000000,261.0000000,264.7500000,11547
US3.ZW,D,20000221,000000,262.0000000,265.0000000,261.0000000,264.7500000,11547
US3.ZW,D,20000222,000000,264.2500000,267.0000000,262.0000000,262.2500000,17408
US3.ZW,D,20000223,000000,261.5000000,262.5000000,254.2500000,254.7500000,19166
US3.ZW,D,20000224,000000,257.0000000,257.2500000,253.5000000,254.7500000,10952
US3.ZW,D,20000225,000000,255.0000000,258.2500000,247.5000000,248.0000000,13908
US3.ZW,D,20000228,000000,247.0000000,253.0000000,244.0000000,244.5000000,19394
US3.ZW,D,20000229,000000,244.7500000,248.2500000,244.0000000,247.0000000,9236
US3.ZW,D,20000301,000000,246.0000000,249.7500000,245.7500000,247.7500000,7248
US3.ZW,D,20000302,000000,247.0000000,247.5000000,244.2500000,247.2500000,6819
US3.ZW,D,20000303,000000,246.5000000,248.5000000,245.5000000,247.5000000,5196
US3.ZW,D,20000306,000000,246.5000000,250.0000000,245.7500000,249.7500000,4772
US3.ZW,D,20000307,000000,250.0000000,252.0000000,249.0000000,250.0000000,3562
US3.ZW,D,20000308,000000,249.0000000,252.0000000,248.0000000,252.0000000,3601
US3.ZW,D,20000309,000000,256.0000000,256.5000000,254.0000000,254.2500000,94
US3.ZW,D,20000310,000000,254.5000000,254.5000000,249.5000000,250.0000000,284
